player_id,player_name,country
01648,Billy Kratzert,United States
01666,Bernhard Langer,GER
01677,Tom Lehman,USA
01682,Wayne Levi,United States
01685,J.L. Lewis,United States
01692,Pat Lindsey,United States
01701,Bob Lohr,United States
01703,Lyn Lott,United States
01706,Davis Love III,USA
01707,Steve Lowery,United States
01714,Bob Lunn,United States
01715,Mark Lye,United States
01717,Sandy Lyle,SCO
01723,Andrew Magee,United States
01724,Jeff Maggert,United States
01725,John Mahaffey,United States
01736,Roger Maltbie,United States
01746,Fred Marti,United States
01753,Rik Massengale,United States
01755,Dick Mast,United States
01761,Len Mattiace,United States
01763,Billy Maxwell,United States
01766,Billy Mayfair,United States
01771,Blaine McCallister,United States
01772,Bob McCallister,United States
01779,Gary McCord,United States
01782,Mike McCullough,United States
01783,Mark McCumber,United States
01786,Jerry McGee,United States
01790,Pat McGowan,United States
01793,Mac McLendon,United States
01797,Rocco Mediate,United States
01810,Phil Mickelson,USA
01814,Allen Miller,United States
01815,Johnny Miller,United States
01821,Jeff Mitchell,United States
01823,Larry Mize,USA
01837,Gil Morgan,United States
01838,Mike Morley,United States
01851,Bob Murphy,United States
01861,Jim Nelford,Canada
01864,Larry Nelson,United States
01865,Dwight Nevil,United States
01866,Jack Newton,Australia
01867,Bobby Nichols,United States
01869,Jack Nicklaus,United States
01871,Mike Nicolette,United States
01873,Tom Nieporte,United States
01876,Greg Norman,Australia
01877,Tim Norris,United States
01878,Andy North,United States
01884,Mac O'Grady,United States
01887,Mark O'Meara,United States
01891,David Ogrin,United States
01897,Peter Oosterhuis,England
01920,Craig Parry,Australia
01925,Jerry Pate,United States
01926,Steve Pate,United States
01927,Dennis Paulson,United States
01928,Corey Pavin,USA
01938,David Peoples,United States
01941,Tom Pernice Jr.,United States
01943,Chris Perry,United States
01945,Kenny Perry,United States
01948,Tim Petrovic,United States
01949,Mark Pfeil,United States
01955,Gary Player,South Africa
01958,Dan Pohl,United States
01960,Don Pooley,United States
01962,Johnny Pott,United States
01964,Greg Powers,United States
01968,Nick Price,Zimbabwe
01975,Tom Purtzer,United States
01978,Fran Quinn,USA
01984,Sam Randolph,United States
01994,Victor Regalado,Mexico
01996,Mike Reid,United States
01997,Steve Reid,United States
01998,Jack Renner,United States
02007,Larry Rinker,United States
02010,Loren Roberts,United States
02015,Chi Chi Rodriguez,United States
02016,Bill Rogers,United States
02023,Clarence Rose,United States
02033,Dave Rummells,United States
02041,Bill Sander,United States
02049,Gene Sauers,United States
02064,John Schroeder,United States
02067,Ted Schulz,United States
02083,Tom Shaw,United States
02084,Bob Shearer,Australia
02090,Tom Sieckmann,United States
02093,R.H. Sikes,United States
02094,Tony Sills,United States
02099,Scott Simpson,United States
02100,Tim Simpson,United States
02101,Joey Sindelar,United States
02104,Jeff Sluman,United States
02105,Bob Smith,United States
02106,Chris Smith,United States
02110,Jerry Smith,United States
02118,J.C. Snead,United States
02120,Ed Sneed,United States
02130,Steve Spray,United States
02131,Mike Springer,United States
02133,Craig Stadler,United States
02135,Mike Standly,United States
02152,Dave Stockton,United States
